,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
266917,830,1170,4,3807.83,0.38425220832631407,0.5015245824425657,4075.6060712388944,1513.582939453059,2014-12-02
266918,329,632,3,4112.441666666667,0.3923796694949308,0.4378843392397676,4507.17644912162,1709.5741842625039,2014-12-02
266919,361,779,5,2771.34,0.25334174111635016,0.2500102264976827,2925.267876624407,716.3492507022572,2014-12-02
266920,519,1033,5,3905.954,0.1833021479201425,0.20459067136176418,4122.640062002067,730.3954331586301,2014-12-02
266921,404,1033,3,1917.175,0.1125880970894051,0.1537802201931736,2101.7858228472473,228.71480468899583,2014-12-02
266922,314,1182,2,2402.27,0.04407765454730469,0.07239751087765961,2766.2535402792223,117.84327049467954,2014-12-02
266923,482,830,5,2183.259,0.37583220752553576,0.38064678940030017,2304.658724834389,837.2299436170588,2014-12-02
266927,141,1270,1,934.83,0.01588453684118063,0.030974577599208082,1270.9207002596536,19.510866176143303,2014-12-02
266929,0,793,1,3752.58,0.039335886600557715,0.06163253393125007,5089.353292544566,193.50705163283274,2014-12-02
266930,368,1324,2,3555.8900000000003,0.03510882392140613,0.06116488400425144,4093.8300937733675,138.90741804838515,2014-12-02
266931,805,1197,4,4142.921249999999,0.3315342727274333,0.4377326281952169,4434.190550291609,1420.8145285649691,2014-12-02
266934,450,814,2,2361.385,0.30147705102758504,0.4173123398187114,2719.2034133833577,792.3908179580569,2014-12-02
266935,881,1284,3,1021.3883333333333,0.3026532488726273,0.46071850050667823,1120.257298837302,327.6781914677821,2014-12-02
266936,68,839,3,5030.328333333334,0.03086023684212833,0.03842021004726985,5512.9203150068115,164.44542015924657,2014-12-02
266937,773,1201,5,1703.4679999999996,0.3046920734624829,0.3661322885747472,1798.3293492101388,529.5723287008615,2014-12-02
266939,583,1082,6,4083.8958333333335,0.19795438011674837,0.20696215006546181,4270.945181235718,817.1440807455582,2014-12-02
266940,23,429,2,2561.9425,0.21016730058672603,0.23412071833265663,2950.003360183345,599.3876696622433,2014-12-02
266941,0,1259,1,4038.775,0.006859020261795295,0.0133143720231247,5477.186249957034,36.30816313549398,2014-12-02
266942,734,1145,4,4553.981250000001,0.3092242732102014,0.3992670610566978,4874.069944216128,1456.6857447170003,2014-12-02
266943,28,862,2,1100.58,0.027159825402033346,0.03851034315554883,1268.2792299189712,33.29491259110173,2014-12-02
266944,910,1325,2,7684.7225,0.26908585459014533,0.46897711199004133,8845.257097730138,2300.279307315508,2014-12-02
266945,818,1382,7,2747.503571428572,0.16937000851454434,0.18524918744526522,2854.814414767353,467.29557786735177,2014-12-02
266950,955,1381,5,3680.5339999999997,0.3207422959831751,0.4148026660685279,3884.7515483508755,1204.1921234792894,2014-12-02
266952,1037,1426,6,4276.718333333333,0.3778782982929921,0.4556819758343106,4472.574385282904,1633.3609055173274,2014-12-02
266953,928,1352,5,6015.840999999999,0.32110617503824174,0.41053392943469885,6349.229904970613,1970.3746999932005,2014-12-02
