cust_id,RFM_Level_Dec_2014,RFM_Level_May_2014,RFM_Level_Dec_2013
267346,Top,Top,Top
267347,Top,Top,Top
267348,Middle,Middle,Top
267349,Top,Top,Top
267350,Middle,Middle,Middle
267356,Middle,Middle,Middle
267358,Top,Top,Top
267359,Top,Top,Top
267360,Top,Top,Middle
267361,Top,Top,Top
267364,Top,Top,Top
267365,Middle,Middle,Low
267366,Middle,Middle,Middle
267367,Middle,Middle,Top
267370,Top,Top,Top
267372,Middle,Middle,Middle
267374,Middle,Middle,Middle
267375,Top,Top,Top
267376,Middle,Middle,Middle
267377,Top,Top,Top
267378,Middle,Top,Top
267379,Top,Top,Middle
267380,Middle,Middle,Middle
267382,Top,Top,Middle
267383,Top,Top,Top
267384,Middle,Middle,Top
267385,Top,Top,Top
267386,Top,Top,Top
267387,Top,Top,Top
267389,Middle,Middle,Middle
267390,Low,Low,Middle
267395,Top,Top,Top
267396,Middle,Middle,Middle
267398,Top,Top,Top
267400,Middle,Middle,Middle
267401,Middle,Middle,Middle
267402,Middle,Middle,Middle
267403,Top,Top,Top
267405,Middle,Middle,Middle
267406,Middle,Middle,Middle
267407,Middle,Top,Top
267408,Middle,Middle,Top
267411,Middle,Middle,Middle
267412,Top,Top,Top
267413,Top,Top,Top
267414,Middle,Middle,Top
267415,Top,Top,Top
267419,Middle,Top,Top
267420,Top,Top,Top
267422,Middle,Middle,Top
267424,Low,Low,Middle
267425,Top,Top,Middle
267426,Top,Top,Top
267429,Top,Top,Top
267430,Top,Top,Top
267432,Top,Top,Top
267433,Top,Top,Top
267436,Top,Top,Top
267437,Top,Top,Top
267439,Top,Top,Top
267441,Top,Top,Top
267442,Low,Low,Middle
267445,Middle,Middle,Middle
267446,Middle,Middle,Middle
267447,Top,Top,Top
267448,Middle,Middle,Middle
267449,Top,Top,Top
267450,Top,Top,Top
267452,Middle,Middle,Middle
267453,Top,Top,Top
267455,Middle,Low,Low
267457,Middle,Middle,Middle
267460,Top,Top,Middle
267462,Top,Top,Top
267463,Top,Top,Top
267464,Middle,Middle,Low
267465,Top,Top,Middle
267466,Middle,Middle,Middle
267467,Top,Middle,Top
267468,Top,Top,Middle
267470,Middle,Middle,Middle
267473,Top,Top,Top
267474,Middle,Middle,Middle
267475,Top,Top,Top
267478,Middle,Middle,Top
267479,Top,Top,Top
267480,Top,Top,Top
267482,Middle,Middle,Middle
267483,Top,Top,Top
267484,Middle,Middle,Middle
267485,Top,Top,Top
267486,Top,Top,Top
267488,Top,Top,Top
267489,Middle,Middle,Low
267490,Top,Top,Middle
267492,Top,Top,Top
267497,Top,Middle,Middle
267498,Top,Top,Top
267499,Low,Low,Low
267500,Top,Middle,Top
267503,Middle,Middle,Middle
267504,Top,Top,Top
267508,Top,Top,Top
267510,Top,Top,Top
267511,Top,Top,Top
267512,Middle,Middle,Top
267517,Middle,Middle,Top
267522,Top,Middle,Middle
267524,Top,Middle,Middle
267525,Middle,Middle,Middle
267527,Top,Top,Top
267528,Top,Top,Top
267529,Top,Top,Top
267534,Top,Top,Top
267536,Top,Middle,Middle
267537,Top,Top,Middle
267538,Middle,Middle,Top
267539,Middle,Middle,Top
267540,Top,Top,Top
267542,Top,Top,Top
267543,Middle,Middle,Middle
267544,Top,Top,Low
267545,Middle,Middle,Middle
267546,Top,Top,Top
267547,Top,Top,Low
267549,Top,Top,Top
267550,Top,Middle,Middle
267551,Top,Top,Top
267552,Top,Top,Top
267555,Top,Top,Top
267557,Middle,Middle,Middle
267558,Top,Top,Top
267559,Top,Top,Middle
267560,Middle,Middle,Top
267562,Middle,Middle,Top
267565,Top,Top,Top
267568,Top,Top,Top
267573,Middle,Middle,Middle
267574,Middle,Middle,Middle
267575,Middle,Middle,Middle
267576,Top,Middle,Middle
267577,Middle,Middle,Middle
267579,Middle,Middle,Middle
267580,Middle,Middle,Low
267583,Top,Top,Top
267585,Middle,Middle,Middle
267586,Middle,Top,Middle
267588,Top,Top,Top
267589,Top,Top,Top
267592,Top,Top,Top
267594,Top,Top,Top
267595,Top,Top,Top
267596,Top,Top,Top
267597,Top,Top,Top
267598,Top,Top,Top
267599,Top,Top,Top
267603,Top,Top,Top
267604,Middle,Middle,Middle
267606,Top,Top,Top
267607,Middle,Middle,Middle
267609,Top,Top,Top
267610,Top,Top,Top
267611,Middle,Middle,Middle
267613,Top,Top,Top
267615,Middle,Middle,Middle
267616,Middle,Middle,Middle
267617,Top,Top,Top
267618,Top,Top,Top
267620,Top,Top,Top
267621,Top,Top,Top
267622,Top,Middle,Top
267623,Middle,Middle,Middle
267624,Top,Top,Top
267629,Top,Top,Top
267630,Middle,Middle,Middle
267631,Top,Top,Top
267632,Top,Top,Middle
267633,Middle,Middle,Middle
267634,Top,Top,Top
267635,Top,Top,Top
267636,Top,Top,Top
267637,Middle,Middle,Top
267638,Middle,Middle,Low
267639,Top,Top,Top
267640,Top,Top,Top
267642,Top,Top,Top
267643,Top,Top,Top
267644,Top,Top,Top
267646,Middle,Middle,Middle
267648,Top,Top,Top
267649,Top,Top,Top
267651,Top,Top,Top
267652,Middle,Middle,Top
267653,Top,Top,Top
267654,Middle,Middle,Low
267655,Top,Top,Top
267656,Middle,Middle,Middle
267657,Top,Top,Top
267658,Middle,Middle,Top
267660,Middle,Middle,Middle
267661,Top,Top,Middle
267662,Top,Top,Top
267663,Middle,Middle,Middle
267664,Top,Top,Middle
267665,Top,Top,Middle
267666,Top,Top,Top
267667,Top,Top,Top
267668,Middle,Middle,Middle
267669,Top,Top,Middle
267671,Low,Low,Middle
267673,Top,Top,Top
267674,Middle,Middle,Middle
